ISCO,ISCO_title,SOC,SOC_title
0110,Commissioned armed forces officers,55-1011 ,Air Crew Officers
0110,Commissioned armed forces officers,55-1012 ,Aircraft Launch and Recovery Officers
0110,Commissioned armed forces officers,55-1013 ,Armored Assault Vehicle Officers
0110,Commissioned armed forces officers,55-1014 ,Artillery and Missile Officers
0110,Commissioned armed forces officers,55-1015 ,Command and Control Center Officers
0110,Commissioned armed forces officers,55-1016 ,Infantry Officers
0110,Commissioned armed forces officers,55-1017 ,Special Forces Officers
0110,Commissioned armed forces officers,55-1019 ,Military Officer Special and Tactical Operations Leaders All Other
0210,Non-commissioned armed forces officers,55-2011 ,First-Line Supervisors of Air Crew Members
0210,Non-commissioned armed forces officers,55-2012 ,First-Line Supervisors of Weapons Specialists/Crew Members
0210,Non-commissioned armed forces officers,55-2013 ,First-Line Supervisors of All Other Tactical Operations Specialists
0310,Armed forces occupations,55-3011 ,Air Crew Members
0310,Armed forces occupations,55-3012 ,Aircraft Launch and Recovery Specialists
0310,Armed forces occupations,55-3013 ,Armored Assault Vehicle Crew Members
0310,Armed forces occupations,55-3014 ,Artillery and Missile Crew Members
0310,Armed forces occupations,55-3015 ,Command and Control Center Specialists
0310,Armed forces occupations,55-3016 ,Infantry
0310,Armed forces occupations,55-3017 ,Radar and Sonar Technicians
0310,Armed forces occupations,55-3018 ,Special Forces
0310,Armed forces occupations,55-3019 ,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members All Other
1111,Legislators,11-1031,Legislators
1112,Senior government officials,11-1011,Chief Executives
1112,Senior government officials,11-1021,General and Operations Managers
1112,Senior government officials,11-9161,Emergency Management Directors
1113,Traditional chiefs and heads of villages,11-1011,Chief Executives
1113,Traditional chiefs and heads of villages,11-1031,Legislators
1114,Senior officials of special-interest organizations,11-1021,General and Operations Managers
1114,Senior officials of special-interest organizations,11-2031,Public Relations and Fundraising Managers
1114,Senior officials of special-interest organizations,11-9199,Managers All Other
1120,Managing directors and chief executives,11-1011,Chief Executives
1120,Managing directors and chief executives,11-1021,General and Operations Managers
1211,Finance managers,11-3031,Financial Managers
1212,Human resource managers,11-3111,Compensation and Benefits Managers
1212,Human resource managers,11-3121,Human Resources Managers
1212,Human resource managers,11-3131,Training and Development Managers
1213,Policy and planning managers,11-9199,Managers All Other
1219,Business services and administration managers not elsewhere classified,11-2031,Public Relations and Fundraising Managers
1219,Business services and administration managers not elsewhere classified,11-3011,Administrative Services Managers
1219,Business services and administration managers not elsewhere classified,11-3061,Purchasing Managers
1219,Business services and administration managers not elsewhere classified,11-9061,Funeral Service Managers
1219,Business services and administration managers not elsewhere classified,11-9131,Postmasters and Mail Superintendents
1219,Business services and administration managers not elsewhere classified,11-9199,Managers All Other
1221,Sales and marketing managers,11-2021,Marketing Managers
1221,Sales and marketing managers,11-2022,Sales Managers
1222,Advertising and public relations managers,11-2011,Advertising and Promotions Managers
1222,Advertising and public relations managers,11-2031,Public Relations and Fundraising Managers
1223,Research and development managers,11-9041,Architectural and Engineering Managers
1223,Research and development managers,11-9121,Natural Sciences Managers
1311,Agricultural and forestry production managers,11-9013,Farmers Ranchers and Other Agricultural Managers
1312,Aquaculture and fisheries production managers,11-9013,Farmers Ranchers and Other Agricultural Managers
1321,Manufacturing managers,11-3051,Industrial Production Managers
1322,Mining managers,11-9199,Managers All Other
1323,Construction managers,11-9021,Construction Managers
1324,Supply distribution and related managers,11-3071,Transportation Storage and Distribution Managers
1330,Information and communications technology service managers,11-3021,Computer and Information Systems Managers
1341,Child care services managers,11-9031,Education Administrators Preschool and Childcare Center/Program
1342,Health services managers,11-9111,Medical and Health Services Managers
1343,Aged care services managers,11-1021,General and Operations Managers
1343,Aged care services managers,11-9111,Medical and Health Services Managers
1344,Social welfare managers,11-9151,Social and Community Service Managers
1345,Education managers,11-9032,Education Administrators Elementary and Secondary School
1345,Education managers,11-9033,Education Administrators Postsecondary
1345,Education managers,11-9039,Education Administrators All Other
1346,Financial and insurance services branch managers,11-1021,General and Operations Managers
1346,Financial and insurance services branch managers,11-3031,Financial Managers
1349,Professional services managers not elsewhere classified,11-9199,Managers All Other
1411,Hotel managers,11-9081,Lodging Managers
1412,Restaurant managers,11-9051,Food Service Managers
1420,Retail and wholesale trade managers,11-1021,General and Operations Managers
1431,Sports recreation and cultural centre managers,11-9071,Gaming Managers
1431,Sports recreation and cultural centre managers,11-9199,Managers All Other
1439,Services managers not elsewhere classified,11-9199,Managers All Other
211,Physical and earth science professionals,19-2099,Physical Scientists All Other
2111,Physicists and astronomers,19-2011,Astronomers
2111,Physicists and astronomers,19-2012,Physicists
2112,Meteorologists,19-2021,Atmospheric and Space Scientists
2113,Chemists,19-2031,Chemists
2113,Chemists,19-2032,Materials Scientists
2114,Geologists and geophysicists,19-2042,Geoscientists Except Hydrologists and Geographers
2114,Geologists and geophysicists,19-2043,Hydrologist
2120,Mathematicians actuaries and statisticians,15-2011,Actuaries
2120,Mathematicians actuaries and statisticians,15-2021,Mathematicians
2120,Mathematicians actuaries and statisticians,15-2031,Operations Research Analysts
2120,Mathematicians actuaries and statisticians,15-2041,Statisticians
2120,Mathematicians actuaries and statisticians,19-3022,Survey Researchers
2131,Biologists botanists zoologists and related professionals,19-1011,Animal Scientists
2131,Biologists botanists zoologists and related professionals,19-1012,Food Scientists and Technologists
2131,Biologists botanists zoologists and related professionals,19-1013,Soil and Plant Scientists
2131,Biologists botanists zoologists and related professionals,19-1021,Biochemists and Biophysicists
2131,Biologists botanists zoologists and related professionals,19-1022,Microbiologists
2131,Biologists botanists zoologists and related professionals,19-1023,Zoologists and Wildlife Biologists
2131,Biologists botanists zoologists and related professionals,19-1029,Biological Scientists All Other
2131,Biologists botanists zoologists and related professionals,19-1041,Epidemiologists
2131,Biologists botanists zoologists and related professionals,19-1042,Medical Scientists Except Epidemiologists
