Label,Skill
SOFT_SKILL,Action Oriented
SOFT_SKILL,Articulation
SOFT_SKILL,Balancing Short term and long term solutions
SOFT_SKILL,Adhoc copy-writing
SOFT_SKILL,Bias for action
SOFT_SKILL,can-do attitude
SOFT_SKILL,Client Management
SOFT_SKILL,Communication Skills
SOFT_SKILL,Coordination Skills
SOFT_SKILL,copy-editing
SOFT_SKILL,Creative
SOFT_SKILL,Critical Thinking
SOFT_SKILL,Cross-functional 
SOFT_SKILL,Customer Focused
SOFT_SKILL,Customer Training
SOFT_SKILL,Dashboards
SOFT_SKILL,Data Reporting
SOFT_SKILL,Deal with ambiguity
SOFT_SKILL,Detail-Oriented
SOFT_SKILL,Documentation
SOFT_SKILL,end to end ownership
SOFT_SKILL,Entrepreneurial mind-set
SOFT_SKILL,Entrepreneurship mentality
SOFT_SKILL,Experience with Technology/Software
SOFT_SKILL,Experienced with High Volume/Production Environment
SOFT_SKILL,First principle thinking
SOFT_SKILL,Flexible
SOFT_SKILL,General_Awareness
SOFT_SKILL,go-getter attitude
SOFT_SKILL,Handling Large Amounts of Data
SOFT_SKILL,Hands on work experience
SOFT_SKILL,high tolerance to ambiguity
SOFT_SKILL,Initiative
SOFT_SKILL,Integrity and Trust
SOFT_SKILL,Interpersonal Skills
SOFT_SKILL,Social Media Platforms
SOFT_SKILL,Knowledge of Technology 
SOFT_SKILL,Knowledge of Web Applications
SOFT_SKILL,Leadership
SOFT_SKILL,Mentoring/Coaching skills
SOFT_SKILL,Monitoring Skills
SOFT_SKILL,Multi Tasking
SOFT_SKILL,Negotiation Skills
SOFT_SKILL,One extra international language apart from English
SOFT_SKILL,Open Ended problem Solution
SOFT_SKILL,Organized
SOFT_SKILL,Organizational
SOFT_SKILL,Organized/ Detail Oriented
SOFT_SKILL,Ownership
SOFT_SKILL,People focused
SOFT_SKILL,People orientation
SOFT_SKILL,Perseverance
SOFT_SKILL,Presentation
SOFT_SKILL,problem solver
SOFT_SKILL,Problem Solving and Decision Making
SOFT_SKILL,Process Orientation
SOFT_SKILL,Product Ownership
SOFT_SKILL,Quick/good Learner
SOFT_SKILL,Result-oriented
SOFT_SKILL,work independently
SOFT_SKILL,Stakeholder Management
SOFT_SKILL,Supervising Skills
SOFT_SKILL,Task Oriented
SOFT_SKILL,Team Management
SOFT_SKILL,Time management skill
SOFT_SKILL,user understanding
SOFT_SKILL,Work under pressure in short timelines
SOFT_SKILL,Writing Skills
TECH_SKILL,C++
TECH_SKILL,Haskell
TECH_SKILL,HTML
TECH_SKILL,CSS
TECH_SKILL,C 
TECH_SKILL,Java
TECH_SKILL,JavaScript
TECH_SKILL,Julia
TECH_SKILL,MATLAB
TECH_SKILL,NumPy
TECH_SKILL,Perl
TECH_SKILL,PHP
TECH_SKILL,PostGIS
TECH_SKILL,Python
TECH_SKILL,R
TECH_SKILL,Ruby
TECH_SKILL,Scala
TECH_SKILL,SQL
TECH_SKILL,Codechef
TECH_SKILL,codeforces
TECH_SKILL,coding ninja
TECH_SKILL,Algorithms
TECH_SKILL,Leetcode
TECH_SKILL,HTML
TECH_SKILL,CSS
TECH_SKILL,Javascript
TECH_SKILL,js
TECH_SKILL,Python
TECH_SKILL,Ruby on rails
TECH_SKILL,wordpress
TECH_SKILL,Express.js
TECH_SKILL,Django
TECH_SKILL,Lavarel
TECH_SKILL,PHP
TECH_SKILL,Go
TECH_SKILL,Protocols
TECH_SKILL,http
TECH_SKILL,ddp
TECH_SKILL,api
TECH_SKILL,json
TECH_SKILL,client
TECH_SKILL,server
TECH_SKILL,firebase
TECH_SKILL,angular
TECH_SKILL,asp
TECH_SKILL,.net
TECH_SKILL,meteor
TECH_SKILL,mongo
TECH_SKILL,Express.js
TECH_SKILL,node
TECH_SKILL,flutter
TECH_SKILL,Computer Vision
TECH_SKILL,Chat-bots
TECH_SKILL,Crimson Hexagon
TECH_SKILL,Dash
TECH_SKILL,Clustering
TECH_SKILL,Bagging
TECH_SKILL,Data Modeling
TECH_SKILL,Decision Trees
TECH_SKILL,Deep Learning
TECH_SKILL,Demand Forecasting
TECH_SKILL,Dimensionality reduction
TECH_SKILL,Django
TECH_SKILL,Ensemble Modeling
TECH_SKILL,Entity Recognition
TECH_SKILL,Flask
TECH_SKILL,Fraud Detection
TECH_SKILL,Gradient Boosting algorithm
TECH_SKILL,Gradient Descent
