Label, Skill
GENERAL_SKILL,Judgment and Decision Making
GENERAL_SKILL,Complex Problem Solving
GENERAL_SKILL,Critical Thinking
GENERAL_SKILL,Speaking
GENERAL_SKILL,Coordination
GENERAL_SKILL,Management of Personnel Resources
GENERAL_SKILL,Social Perceptiveness
GENERAL_SKILL,Active Listening
GENERAL_SKILL,Management of Financial Resources
GENERAL_SKILL,Monitoring
GENERAL_SKILL,Negotiation
GENERAL_SKILL,Persuasion
GENERAL_SKILL,Reading Comprehension
GENERAL_SKILL,Systems Analysis
GENERAL_SKILL,Systems Evaluation
GENERAL_SKILL,Active Learning
GENERAL_SKILL,Time Management
GENERAL_SKILL,Writing
GENERAL_SKILL,Management of Material Resources
GENERAL_SKILL,Mathematics
GENERAL_SKILL,Instructing
GENERAL_SKILL,Learning Strategies
GENERAL_SKILL,Operations Analysis
GENERAL_SKILL,Service Orientation
GENERAL_SKILL,Active Listening
GENERAL_SKILL,Coordination
GENERAL_SKILL,Monitoring
GENERAL_SKILL,Social Perceptiveness
GENERAL_SKILL,Speaking
GENERAL_SKILL,Critical Thinking
GENERAL_SKILL,Reading Comprehension
GENERAL_SKILL,Time Management
GENERAL_SKILL,Negotiation
GENERAL_SKILL,Active Learning
GENERAL_SKILL,Complex Problem Solving
GENERAL_SKILL,Judgment and Decision Making
GENERAL_SKILL,Management of Personnel Resources
GENERAL_SKILL,Persuasion
GENERAL_SKILL,Management of Material Resources
GENERAL_SKILL,Service Orientation
GENERAL_SKILL,Writing
GENERAL_SKILL,Instructing
GENERAL_SKILL,Management of Financial Resources
GENERAL_SKILL,Learning Strategies
GENERAL_SKILL,Systems Analysis
GENERAL_SKILL,Systems Evaluation
GENERAL_SKILL,Complex Problem Solving
GENERAL_SKILL,Judgment and Decision Making
GENERAL_SKILL,Service Orientation
GENERAL_SKILL,Speaking
GENERAL_SKILL,Active Listening
GENERAL_SKILL,Coordination
GENERAL_SKILL,Critical Thinking
GENERAL_SKILL,Monitoring
GENERAL_SKILL,Reading Comprehension
GENERAL_SKILL,Writing
GENERAL_SKILL,Active Learning
GENERAL_SKILL,Instructing
GENERAL_SKILL,Persuasion
GENERAL_SKILL,Social Perceptiveness
GENERAL_SKILL,Systems Analysis
GENERAL_SKILL,Time Management
GENERAL_SKILL,Learning Strategies
GENERAL_SKILL,Negotiation
GENERAL_SKILL,Management of Personnel Resources
GENERAL_SKILL,Systems Evaluation
GENERAL_SKILL,Mathematics
GENERAL_SKILL,Judgment and Decision Making
GENERAL_SKILL,Complex Problem Solving
GENERAL_SKILL,Critical Thinking
GENERAL_SKILL,Speaking
GENERAL_SKILL,Coordination
GENERAL_SKILL,Management of Personnel Resources
GENERAL_SKILL,Social Perceptiveness
GENERAL_SKILL,Active Listening
GENERAL_SKILL,Management of Financial Resources
GENERAL_SKILL,Monitoring
GENERAL_SKILL,Negotiation
GENERAL_SKILL,Persuasion
GENERAL_SKILL,Reading Comprehension
GENERAL_SKILL,Systems Analysis
GENERAL_SKILL,Systems Evaluation
GENERAL_SKILL,Active Learning
GENERAL_SKILL,Time Management
GENERAL_SKILL,Writing
GENERAL_SKILL,Management of Material Resources
