,0
0,Judgment and Decision Making
1,Complex Problem Solving
2,Critical Thinking
3,Speaking
4,Coordination
5,Management of Personnel Resources
6,Social Perceptiveness
7,Active Listening
8,Management of Financial Resources
9,Monitoring
10,Negotiation
11,Persuasion
12,Reading Comprehension
13,Systems Analysis
14,Systems Evaluation
15,Active Learning
16,Time Management
17,Writing
18,Management of Material Resources
19,Mathematics
20,Instructing
21,Learning Strategies
22,Operations Analysis
23,Service Orientation
24,Active Listening
25,Coordination
26,Monitoring
27,Social Perceptiveness
28,Speaking
29,Critical Thinking
30,Reading Comprehension
31,Time Management
32,Negotiation
33,Active Learning
34,Complex Problem Solving
35,Judgment and Decision Making
36,Management of Personnel Resources
37,Persuasion
38,Management of Material Resources
39,Service Orientation
40,Writing
41,Instructing
42,Management of Financial Resources
43,Learning Strategies
44,Systems Analysis
45,Systems Evaluation
46,Complex Problem Solving
47,Judgment and Decision Making
48,Service Orientation
49,Speaking
50,Active Listening
51,Coordination
52,Critical Thinking
53,Monitoring
54,Reading Comprehension
55,Writing
56,Active Learning
57,Instructing
58,Persuasion
59,Social Perceptiveness
60,Systems Analysis
61,Time Management
62,Learning Strategies
63,Negotiation
64,Management of Personnel Resources
65,Systems Evaluation
66,Mathematics
67,Judgment and Decision Making
68,Complex Problem Solving
69,Critical Thinking
70,Speaking
71,Coordination
72,Management of Personnel Resources
73,Social Perceptiveness
74,Active Listening
75,Management of Financial Resources
76,Monitoring
77,Negotiation
78,Persuasion
79,Reading Comprehension
80,Systems Analysis
81,Systems Evaluation
82,Active Learning
83,Time Management
84,Writing
85,Management of Material Resources
86,Mathematics
87,Instructing
88,Learning Strategies
89,Operations Analysis
90,Service Orientation
91,Active Listening
92,Coordination
93,Monitoring
94,Social Perceptiveness
95,Speaking
96,Critical Thinking
97,Reading Comprehension
98,Time Management
99,Negotiation
100,Active Learning
101,Complex Problem Solving
102,Judgment and Decision Making
103,Management of Personnel Resources
104,Persuasion
105,Management of Material Resources
106,Service Orientation
107,Writing
108,Instructing
