,0
0,Access software
1,Cisco AnyConnect
2,Calendar and scheduling software
3,Meeting scheduling software
4,Cloud-based data access and sharing software
5,Microsoft SharePoint
6,Communications server software
7,IBM Domino
8,Data base user interface and query software
9,Legislative Automative Workflow System LAWS
10,Microsoft Access
11,Microsoft SQL Server
12,Structured query language SQL
13,Desktop publishing software
14,Adobe Systems Adobe FrameMaker
15,Antenna House
16,Rocket/Folio NXT
17,Development environment software
18,Microsoft Visual Basic
19,Document management software
20,Adobe Systems Adobe Acrobat
21,Electronic mail software
22,Microsoft Exchange
23,Microsoft Outlook
24,Internet browser software
25,Web browser software
26,Map creation software
27,Mapping software
28,Music or sound editing software
29,Windows Media Player
30,Office suite software
31,Corel WordPerfect Office Suite
32,Microsoft Office
33,Presentation software
34,Apple iWork Keynote
35,Spreadsheet software
36,Apple Numbers for Mac
37,Microsoft Excel
38,Video conferencing software
39,Cisco Systems Webex
40,LogMeIn GoToMeeting
41,Word processing software
42,Apple Pages for Mac
43,GoodReader
44,Microsoft Word
45,XMetaL Author
46,Accounting software
47,ComputerEase Construction Accounting
48,Fund accounting software
49,Intuit QuickBooks
50,Sage 50 Accounting
51,Analytical or scientific software
52,Lyris HQ Web-Analytics Solution
53,Nedstat Sitestat
54,Online advertising reporting software
55,Cloud-based data access and sharing software
56,Microsoft SharePoint
57,Content workflow software
58,Atlassian JIRA
59,Customer relationship management CRM software
60,Blackbaud The Raiser's Edge
61,Oracle Siebel Server Sync
62,Data base management system software
63,Relational database management software
64,Data base reporting software
65,Database reporting software
66,Data base user interface and query software
67,AdSense Tracker
68,Databox
69,Microsoft Access
70,Structured query language SQL
71,Desktop publishing software
72,Microsoft Publisher
73,Document management software
74,Adobe Systems Adobe Acrobat
75,Electronic mail software
76,Email software
77,Listserv software
78,Microsoft Outlook
79,Enterprise application integration software
80,Extensible markup language XML
81,Enterprise resource planning ERP software
82,Microsoft Dynamics
83,Microsoft Dynamics GP
84,Oracle PeopleSoft
85,SAP
86,Financial analysis software
87,Microsoft FRx
88,Graphics or photo imaging software
89,Graphic presentation software
90,SmugMug Flickr
91,Human resources software
92,Halogen e360
93,Halogen ePraisal
94,Human resource information system HRIS
95,Infor SSA Human Capital Management
96,Internet browser software
97,Web browser software
98,Office suite software
99,Microsoft Office
100,Presentation software
101,Mentimeter
102,Microsoft PowerPoint
103,Project management software
104,HCSS HeavyBid
105,HCSS HeavyJob
106,Microsoft Project
107,Spreadsheet software
108,Microsoft Excel
109,Time accounting software
110,Exact Software Macola ES Labor Performance
111,Norchard Solutions Succession Wizard
112,Web platform development software
113,PHP
114,Word processing software
115,Microsoft Word
116,Access software
117,Citrix
118,Accounting software
119,Fund accounting software
120,Intuit QuickBooks
121,Sage 50 Accounting
122,Tax software
123,Analytical or scientific software
124,IBM SPSS Statistics
125,SAS
126,The MathWorks MATLAB
127,Backup or archival software
128,Veritas NetBackup
129,Business intelligence and data analysis software
130,IBM Cognos Impromptu
131,MicroStrategy
132,Oracle Business Intelligence Enterprise Edition
133,Qlik Tech QlikView
134,Calendar and scheduling software
135,Cloud-based data access and sharing software
136,Dropbox
137,Google Drive
138,Microsoft SharePoint
139,Slack
140,Cloud-based management software
141,Splunk Enterprise
142,Communications server software
143,IBM Domino
144,Computer aided design CAD software
145,Autodesk AutoCAD
146,Computer aided manufacturing CAM software
147,CNC Mastercam
148,Siemens NX for Manufacturing
149,Configuration management software
150,Puppet
151,Content workflow software
152,Atlassian JIRA
153,Customer relationship management CRM software
154,Oracle Eloqua
155,Sage ACT!
156,Salesforce software
157,Sugar CRM
158,Data base management system software
159,Apache Hadoop
160,Teradata Database
161,Data base reporting software
162,SAP Crystal Reports
163,Data base user interface and query software
164,Airtable
165,Amazon Web Services AWS software
166,Blackboard software
167,Yardi software
168,Data mining software
169,Datawatch Monarch
170,Google Analytics
171,Desktop communications software
172,Eko
173,Desktop publishing software
174,Microsoft Publisher
175,Development environment software
176,Microsoft Visual Basic
177,Microsoft Visual Basic for Applications VBA
178,Document management software
179,Adobe Systems Adobe Acrobat
180,Electronic mail software
181,IBM Notes
182,Microsoft Exchange
183,Microsoft Outlook
184,Mozilla Thunderbird
185,Enterprise application integration software
186,Extensible markup language XML
187,IBM InfoSphere DataStage
188,Enterprise resource planning ERP software
189,Microsoft Dynamics GP
190,NetSuite ERP
191,Oracle Hyperion
192,Oracle JD Edwards EnterpriseOne
193,Enterprise system management software
194,IBM Power Systems software
195,Facilities management software
196,InnQuest Software roomMaster
197,Financial analysis software
198,Delphi Technology
199,Oracle E-Business Suite Financials
200,Sage MAS 500
201,Geographic information system
202,Geographic information system GIS software
203,Graphics or photo imaging software
204,Adobe Systems Adobe Creative Cloud
205,Adobe Systems Adobe Photoshop
206,Human resources software
207,ADP Workforce Now
208,Human resource management software HRMS
209,Oracle Taleo
210,Personnel scheduling software
211,Industrial control software
212,Supervisory control and data acquisition SCADA software
213,Information retrieval or search software
214,LexisNexis
215,Instant messaging software
216,GroupMe
217,Internet browser software
218,Microsoft Internet Explorer
219,Mozilla Firefox
220,SeaMonkey
221,Inventory management software
222,Materials requirements planning logistics and supply chain software
223,LSA Visual Easy Lean
224,Medical software
225,Dynamic Energy Systems MedAct
226,Medical condition coding software
227,Metadata management software
228,CA Erwin Data Modeler
229,Network monitoring software
230,Nagios
231,Object or component oriented development software
232,R
233,Object oriented data base management software
234,PostgreSQL
235,Office suite software
236,Microsoft Office
237,Operating system software
238,Apple macOS
239,Microsoft Windows
240,Oracle Solaris
241,Shell script
242,Point of sale POS software
243,Presentation software
244,Apple Keynote
245,Google Slides
246,Microsoft PowerPoint
247,Process mapping and design software
248,Microsoft Visio
249,Project management software
250,Confluence
251,Microsoft Project
252,Oracle Primavera Enterprise Project Portfolio Management
253,Realization Streamliner
254,Sales and marketing software
255,Google AdWords
256,HubSpot software
257,Marketo Marketing Automation
258,Spreadsheet software
259,Microsoft Excel
260,Time accounting software
261,Kronos Workforce Payroll
262,Kronos Workforce Timekeeper
263,Payroll software
264,Transaction security and virus protection software
265,McAfee
266,Symantec
267,Transaction server software
268,Customer information control system CICS
269,Video creation and editing software
270,Apple Final Cut Pro
271,Flipgrid
272,Screencastify
273,YouTube
274,Web page creation and editing software
275,Facebook
276,LinkedIn
277,Microsoft FrontPage
278,Social media sites
279,Word processing software
280,Evernote
281,Google Docs
282,Microsoft OneNote
283,Microsoft Word
284,Analytical or scientific software
285,Statistical software
286,Cloud-based data access and sharing software
287,Microsoft SharePoint
288,Data base user interface and query software
289,Emergency Managers Weather Information Network EMWIN
290,Federal Emergency Management Information System FEMIS
291,Relational database software
292,SoftRisk Technologies SoftRisk SQL
293,Desktop publishing software
294,Electronic mail software
295,IBM Lotus Notes
296,Enterprise resource planning ERP software
297,Sungard Assurance
298,Geographic information system
299,ESRI ArcGIS software
300,Geographic information system GIS software
301,Graphics or photo imaging software
302,Graphics software
303,Internet browser software
304,Web browser software
305,Map creation software
306,Digital Engineering Corporation E-MAPS
307,MapInfo Professional
308,Office suite software
309,Microsoft Office
310,Presentation software
311,Microsoft PowerPoint
312,Project management software
313,Alert Technologies OpsCenter
314,Emergency Services Integrators ESi WebEOC
315,National Center for Crisis and Continuity Coordination NC4 E Team
316,Spreadsheet software
317,Microsoft Excel
318,Transaction security and virus protection software
319,McAfee
320,Word processing software
321,Microsoft Word
322,Accounting software
323,ComputerEase Construction Accounting
324,Fund accounting software
325,Intuit QuickBooks
326,Sage 50 Accounting
327,Analytical or scientific software
328,Lyris HQ Web-Analytics Solution
329,Nedstat Sitestat
330,Online advertising reporting software
331,Cloud-based data access and sharing software
332,Microsoft SharePoint
333,Content workflow software
334,Atlassian JIRA
335,Customer relationship management CRM software
336,Blackbaud The Raiser's Edge
337,Oracle Siebel Server Sync
338,Data base management system software
339,Relational database management software
340,Data base reporting software
341,Database reporting software
342,Data base user interface and query software
343,AdSense Tracker
344,Databox
345,Microsoft Access
346,Structured query language SQL
347,Desktop publishing software
348,Microsoft Publisher
349,Document management software
350,Adobe Systems Adobe Acrobat
351,Electronic mail software
352,Email software
353,Listserv software
354,Microsoft Outlook
355,Enterprise application integration software
356,Extensible markup language XML
357,Enterprise resource planning ERP software
358,Microsoft Dynamics
359,Microsoft Dynamics GP
